word,category_id,category_name_de,category_name_en,category_name_ru
stimmen,control,Steuerung,Control,Управление и организация
stoßen,manipulation,Handlung,Manipulation,Манипуляции и действие
streben,manipulation,Handlung,Manipulation,Манипуляции и действие
streichen,manipulation,Handlung,Manipulation,Манипуляции и действие
streiten,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
strömen,nature,Natur,Nature,Природа и явления
stärken,state,Zustand und Veränderung,State & Change,Состояние и изменение
stürzen,movement,Bewegung,Movement,Движение и перемещение
suchen,cognition,Denken,Cognition,Когниция и мышление
säen,manipulation,Handlung,Manipulation,Манипуляции и действие
tauchen,movement,Bewegung,Movement,Движение и перемещение
teilen,manipulation,Handlung,Manipulation,Манипуляции и действие
tragen,manipulation,Handlung,Manipulation,Манипуляции и действие
treffen,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
treiben,movement,Bewegung,Movement,Движение и перемещение
trennen,manipulation,Handlung,Manipulation,Манипуляции и действие
treten,manipulation,Handlung,Manipulation,Манипуляции и действие
trinken,manipulation,Handlung,Manipulation,Манипуляции и действие
trocknen,manipulation,Handlung,Manipulation,Манипуляции и действие
tun,manipulation,Handlung,Manipulation,Манипуляции и действие
tönen,communication,Kommunikation,Communication,Коммуникация
verlieren,state,Zustand und Veränderung,State & Change,Состояние и изменение
vermitteln,communication,Kommunikation,Communication,Коммуникация
verweilen,placement,Positionierung,Placement,Положение и размещение
wachsen,nature,Natur,Nature,Природа и явления
wagen,manipulation,Handlung,Manipulation,Манипуляции и действие
wandeln,manipulation,Handlung,Manipulation,Манипуляции и действие
wandern,movement,Bewegung,Movement,Движение и перемещение
warten,time,Zeit,Time,Время и протекание
wechseln,state,Zustand und Veränderung,State & Change,Состояние и изменение
wecken,control,Steuerung,Control,Управление и организация
wehren,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
weichen,manipulation,Handlung,Manipulation,Манипуляции и действие
weisen,control,Steuerung,Control,Управление и организация
wenden,manipulation,Handlung,Manipulation,Манипуляции и действие
werfen,manipulation,Handlung,Manipulation,Манипуляции и действие
werten,cognition,Denken,Cognition,Когниция и мышление
wirken,state,Zustand und Veränderung,State & Change,Состояние и изменение
wischen,manipulation,Handlung,Manipulation,Манипуляции и действие
wissen,cognition,Denken,Cognition,Когниция и мышление
wohnen,placement,Positionierung,Placement,Положение и размещение
wünschen,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
würzen,work,Arbeit und Produktion,Work & Production,Работа и производство
zahlen,control,Steuerung,Control,Управление и организация
zeichnen,work,Arbeit und Produktion,Work & Production,Работа и производство
zeigen,communication,Kommunikation,Communication,Коммуникация
ziehen,movement,Bewegung,Movement,Движение и перемещение
zwingen,manipulation,Handlung,Manipulation,Манипуляции и действие
zählen,cognition,Denken,Cognition,Когниция и мышление
ändern,state,Zustand und Veränderung,State & Change,Состояние и изменение
öffnen,control,Steuerung,Control,Управление и организация
üben,manipulation,Handlung,Manipulation,Манипуляции и действие
