exercise_id,type,word_base,word,word_level,word_freq,question,correct_answer,accepted_answers,option_1,option_2,option_3,option_4,sentence_example,sentence_example_translation_en,sentence_example_translation_ru,extra,explanation
weisen_022,multiple_choice_sentence_paraphrase,weisen,anweisen,B2,3358,Выберите перефразированное предложение для: «Der Chef weist das Team an.»,Der Chef beauftragt das Team.,Der Chef beauftragt das Team.,Der Chef beauftragt das Team.,Sie schult die neuen Mitarbeiter.,Er zeigte sich als ehrlich.,Er lehnte den Vorschlag ab.,Der Chef weist das Team an.,The boss instructs the team.,Начальник инструктирует команду.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_023,word_family_base,weisen,anweisen,B2,3358,От какого базового слова образовано «anweisen»?,weisen,weisen,weisen,überweisen,erweisen,aufweisen,Der Chef weist das Team an.,The boss instructs the team.,Начальник инструктирует команду.,,Упражнение на словообразование.
weisen_024,multiple_choice_de_en,weisen,aufweisen,B2,3557,Как переводится немецкое слово «aufweisen» на английский?,to exhibit,to exhibit,to present,to admit; instruct,to exhibit,signpost,Das Haus weist Mängel auf.,The house has defects.,У дома есть недостатки.,,Выберите английский перевод слова.
weisen_025,multiple_choice_ru_de,weisen,aufweisen,B2,3557,"Как будет по-немецки: «обладать, иметь»?",aufweisen,aufweisen,ausweisen,aufweisen,abweisen,anweisen,Das Haus weist Mängel auf.,The house has defects.,У дома есть недостатки.,,Выберите немецкое слово по русскому переводу.
weisen_026,multiple_choice_synonym,weisen,aufweisen,B2,3557,Выберите немецкий синоним или близкое по смыслу слово для «aufweisen».,besitzen,besitzen|zeigen,besitzen,Anordnung,beauftragen,aufmerksam machen,Das Haus weist Mängel auf.,The house has defects.,У дома есть недостатки.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_027,sentence_translation_de_en,weisen,aufweisen,B2,3557,Переведите предложение на английский: «Das Haus weist Mängel auf.»,The house has defects.,The house has defects.,,,,,Das Haus weist Mängel auf.,The house has defects.,У дома есть недостатки.,,Открытый перевод предложения.
weisen_028,sentence_translation_de_ru,weisen,aufweisen,B2,3557,Переведите предложение на русский: «Das Haus weist Mängel auf.»,У дома есть недостатки.,У дома есть недостатки.,,,,,Das Haus weist Mängel auf.,The house has defects.,У дома есть недостатки.,,Открытый перевод предложения.
weisen_029,sentence_order,weisen,aufweisen,B2,3557,Соберите немецкое предложение из слов.,Das Haus weist Mängel auf.,Das Haus weist Mängel auf.,,,,,Das Haus weist Mängel auf.,The house has defects.,У дома есть недостатки.,Haus | Das | Mängel | weist | auf.,Поле extra содержит слова в перемешанном порядке.
weisen_030,multiple_choice_sentence_paraphrase,weisen,aufweisen,B2,3557,Выберите перефразированное предложение для: «Das Haus weist Mängel auf.»,Das Haus hat Mängel.,Das Haus hat Mängel.,Sie schult die neuen Mitarbeiter.,Er kann alles belegen.,Bitte zeigen Sie Ihren Ausweis.,Das Haus hat Mängel.,Das Haus weist Mängel auf.,The house has defects.,У дома есть недостатки.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_031,word_family_base,weisen,aufweisen,B2,3557,От какого базового слова образовано «aufweisen»?,weisen,weisen,ausweisen,weisen,Wegweiser,zurechtweisen,Das Haus weist Mängel auf.,The house has defects.,У дома есть недостатки.,,Упражнение на словообразование.
weisen_032,multiple_choice_de_en,weisen,ausweisen,B2,4564,Как переводится немецкое слово «ausweisen» на английский?,to identify; expel,to identify; expel,to reprimand,to identify; expel,signpost,to exhibit,Bitte weisen Sie sich aus.,Please identify yourself.,"Пожалуйста, предъявите удостоверение.",,Выберите английский перевод слова.
weisen_033,multiple_choice_ru_de,weisen,ausweisen,B2,4564,Как будет по-немецки: «удостоверять; высылать»?,ausweisen,ausweisen,einweisen,beweisen,verweisen,ausweisen,Bitte weisen Sie sich aus.,Please identify yourself.,"Пожалуйста, предъявите удостоверение.",,Выберите немецкое слово по русскому переводу.
weisen_034,multiple_choice_synonym,weisen,ausweisen,B2,4564,Выберите немецкий синоним или близкое по смыслу слово для «ausweisen».,identifizieren,identifizieren,zurückweisen,identifizieren,tadeln,zeigen,Bitte weisen Sie sich aus.,Please identify yourself.,"Пожалуйста, предъявите удостоверение.",,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_035,sentence_translation_de_en,weisen,ausweisen,B2,4564,Переведите предложение на английский: «Bitte weisen Sie sich aus.»,Please identify yourself.,Please identify yourself.,,,,,Bitte weisen Sie sich aus.,Please identify yourself.,"Пожалуйста, предъявите удостоверение.",,Открытый перевод предложения.
weisen_036,sentence_translation_de_ru,weisen,ausweisen,B2,4564,Переведите предложение на русский: «Bitte weisen Sie sich aus.»,"Пожалуйста, предъявите удостоверение.","Пожалуйста, предъявите удостоверение.",,,,,Bitte weisen Sie sich aus.,Please identify yourself.,"Пожалуйста, предъявите удостоверение.",,Открытый перевод предложения.
weisen_037,sentence_order,weisen,ausweisen,B2,4564,Соберите немецкое предложение из слов.,Bitte weisen Sie sich aus.,Bitte weisen Sie sich aus.,,,,,Bitte weisen Sie sich aus.,Please identify yourself.,"Пожалуйста, предъявите удостоверение.",sich | aus. | Sie | weisen | Bitte,Поле extra содержит слова в перемешанном порядке.
weisen_038,multiple_choice_sentence_paraphrase,weisen,ausweisen,B2,4564,Выберите перефразированное предложение для: «Bitte weisen Sie sich aus.»,Bitte zeigen Sie Ihren Ausweis.,Bitte zeigen Sie Ihren Ausweis.,Man teilt ihr ein Büro zu.,Er lehnte den Vorschlag ab.,Bitte zeigen Sie Ihren Ausweis.,Der Chef beauftragt das Team.,Bitte weisen Sie sich aus.,Please identify yourself.,"Пожалуйста, предъявите удостоверение.",,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_039,word_family_base,weisen,ausweisen,B2,4564,От какого базового слова образовано «ausweisen»?,weisen,weisen,überweisen,ausweisen,weisen,erweisen,Bitte weisen Sie sich aus.,Please identify yourself.,"Пожалуйста, предъявите удостоверение.",,Упражнение на словообразование.
weisen_040,multiple_choice_de_en,weisen,beweisen,B2,1363,Как переводится немецкое слово «beweisen» на английский?,to prove,to prove,to prove,to instruct,to transfer,to present,Sie beweist ihre Theorie.,She proves her theory.,Она доказывает свою теорию.,,Выберите английский перевод слова.
weisen_041,multiple_choice_ru_de,weisen,beweisen,B2,1363,Как будет по-немецки: «доказывать»?,beweisen,beweisen,hinweisen,zurechtweisen,aufweisen,beweisen,Sie beweist ihre Theorie.,She proves her theory.,Она доказывает свою теорию.,,Выберите немецкое слово по русскому переводу.
weisen_042,multiple_choice_synonym,weisen,beweisen,B2,1363,Выберите немецкий синоним или близкое по смыслу слово для «beweisen».,nachweisen,nachweisen,belegen,zeigen,abweisen,nachweisen,Sie beweist ihre Theorie.,She proves her theory.,Она доказывает свою теорию.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_043,sentence_translation_de_en,weisen,beweisen,B2,1363,Переведите предложение на английский: «Sie beweist ihre Theorie.»,She proves her theory.,She proves her theory.,,,,,Sie beweist ihre Theorie.,She proves her theory.,Она доказывает свою теорию.,,Открытый перевод предложения.
weisen_044,sentence_translation_de_ru,weisen,beweisen,B2,1363,Переведите предложение на русский: «Sie beweist ihre Theorie.»,Она доказывает свою теорию.,Она доказывает свою теорию.,,,,,Sie beweist ihre Theorie.,She proves her theory.,Она доказывает свою теорию.,,Открытый перевод предложения.
weisen_045,sentence_order,weisen,beweisen,B2,1363,Соберите немецкое предложение из слов.,Sie beweist ihre Theorie.,Sie beweist ihre Theorie.,,,,,Sie beweist ihre Theorie.,She proves her theory.,Она доказывает свою теорию.,Theorie. | ihre | Sie | beweist,Поле extra содержит слова в перемешанном порядке.
weisen_046,multiple_choice_sentence_paraphrase,weisen,beweisen,B2,1363,Выберите перефразированное предложение для: «Sie beweist ihre Theorie.»,Sie weist ihre Theorie nach.,Sie weist ihre Theorie nach.,Sie weist ihre Theorie nach.,Sie schult die neuen Mitarbeiter.,Sie macht auf den Fehler aufmerksam.,Der Chef beauftragt das Team.,Sie beweist ihre Theorie.,She proves her theory.,Она доказывает свою теорию.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_047,word_family_base,weisen,beweisen,B2,1363,От какого базового слова образовано «beweisen»?,weisen,weisen,weisen,aufweisen,zurückweisen,beweisen,Sie beweist ihre Theorie.,She proves her theory.,Она доказывает свою теорию.,,Упражнение на словообразование.
weisen_048,multiple_choice_de_en,weisen,einweisen,C1,16501,Как переводится немецкое слово «einweisen» на английский?,to admit; instruct,to admit; instruct,to admit; instruct,to exhibit,to prove; show,to reject,Der Arzt weist ihn ein.,The doctor admits him.,Врач госпитализирует его.,,Выберите английский перевод слова.
weisen_049,multiple_choice_ru_de,weisen,einweisen,C1,16501,Как будет по-немецки: «госпитализировать; вводить в курс»?,einweisen,einweisen,Weisung,Wegweiser,abweisen,einweisen,Der Arzt weist ihn ein.,The doctor admits him.,Врач госпитализирует его.,,Выберите немецкое слово по русскому переводу.
weisen_050,multiple_choice_synonym,weisen,einweisen,C1,16501,Выберите немецкий синоним или близкое по смыслу слово для «einweisen».,aufnehmen,aufnehmen|informieren,besitzen,tadeln,aufnehmen,hinweisen,Der Arzt weist ihn ein.,The doctor admits him.,Врач госпитализирует его.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_051,sentence_translation_de_en,weisen,einweisen,C1,16501,Переведите предложение на английский: «Der Arzt weist ihn ein.»,The doctor admits him.,The doctor admits him.,,,,,Der Arzt weist ihn ein.,The doctor admits him.,Врач госпитализирует его.,,Открытый перевод предложения.
weisen_052,sentence_translation_de_ru,weisen,einweisen,C1,16501,Переведите предложение на русский: «Der Arzt weist ihn ein.»,Врач госпитализирует его.,Врач госпитализирует его.,,,,,Der Arzt weist ihn ein.,The doctor admits him.,Врач госпитализирует его.,,Открытый перевод предложения.
weisen_053,sentence_order,weisen,einweisen,C1,16501,Соберите немецкое предложение из слов.,Der Arzt weist ihn ein.,Der Arzt weist ihn ein.,,,,,Der Arzt weist ihn ein.,The doctor admits him.,Врач госпитализирует его.,weist | ein. | Der | ihn | Arzt,Поле extra содержит слова в перемешанном порядке.
weisen_054,multiple_choice_sentence_paraphrase,weisen,einweisen,C1,16501,Выберите перефразированное предложение для: «Der Arzt weist ihn ein.»,Der Arzt nimmt ihn auf.,Der Arzt nimmt ihn auf.,Ich folge deiner Anordnung.,Der Arzt nimmt ihn auf.,Sie macht auf den Fehler aufmerksam.,Der Chef beauftragt das Team.,Der Arzt weist ihn ein.,The doctor admits him.,Врач госпитализирует его.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_055,word_family_base,weisen,einweisen,C1,16501,От какого базового слова образовано «einweisen»?,weisen,weisen,Wegweiser,abweisen,weisen,Weisung,Der Arzt weist ihn ein.,The doctor admits him.,Врач госпитализирует его.,,Упражнение на словообразование.
weisen_056,multiple_choice_de_en,weisen,erweisen,B1,2012,Как переводится немецкое слово «erweisen» на английский?,to prove; show,to prove; show,to assign,to reprimand,to prove; show,to exhibit,Er erwies sich als ehrlich.,He proved to be honest.,Он оказался честным.,,Выберите английский перевод слова.
weisen_057,multiple_choice_ru_de,weisen,erweisen,B1,2012,Как будет по-немецки: «оказываться; проявлять»?,erweisen,erweisen,erweisen,zurückweisen,vorweisen,weisen,Er erwies sich als ehrlich.,He proved to be honest.,Он оказался честным.,,Выберите немецкое слово по русскому переводу.
weisen_058,multiple_choice_synonym,weisen,erweisen,B1,2012,Выберите немецкий синоним или близкое по смыслу слово для «erweisen».,zeigen,zeigen,tadeln,zeigen,besitzen,Anordnung,Er erwies sich als ehrlich.,He proved to be honest.,Он оказался честным.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_059,sentence_translation_de_en,weisen,erweisen,B1,2012,Переведите предложение на английский: «Er erwies sich als ehrlich.»,He proved to be honest.,He proved to be honest.,,,,,Er erwies sich als ehrlich.,He proved to be honest.,Он оказался честным.,,Открытый перевод предложения.
weisen_060,sentence_translation_de_ru,weisen,erweisen,B1,2012,Переведите предложение на русский: «Er erwies sich als ehrlich.»,Он оказался честным.,Он оказался честным.,,,,,Er erwies sich als ehrlich.,He proved to be honest.,Он оказался честным.,,Открытый перевод предложения.
weisen_061,sentence_order,weisen,erweisen,B1,2012,Соберите немецкое предложение из слов.,Er erwies sich als ehrlich.,Er erwies sich als ehrlich.,,,,,Er erwies sich als ehrlich.,He proved to be honest.,Он оказался честным.,als | erwies | sich | ehrlich. | Er,Поле extra содержит слова в перемешанном порядке.
weisen_062,multiple_choice_sentence_paraphrase,weisen,erweisen,B1,2012,Выберите перефразированное предложение для: «Er erwies sich als ehrlich.»,Er zeigte sich als ehrlich.,Er zeigte sich als ehrlich.,Man teilt ihr ein Büro zu.,Er lehnte den Vorschlag ab.,Er zeigte sich als ehrlich.,Das Gericht lehnte die Klage ab.,Er erwies sich als ehrlich.,He proved to be honest.,Он оказался честным.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_063,word_family_base,weisen,erweisen,B1,2012,От какого базового слова образовано «erweisen»?,weisen,weisen,abweisen,weisen,zuweisen,ausweisen,Er erwies sich als ehrlich.,He proved to be honest.,Он оказался честным.,,Упражнение на словообразование.
weisen_064,multiple_choice_de_en,weisen,hinweisen,B2,2051,Как переводится немецкое слово «hinweisen» на английский?,to point out,to point out,to transfer,to reject,to prove; show,to point out,Sie weist auf den Fehler hin.,She points out the mistake.,Она указывает на ошибку.,,Выберите английский перевод слова.
weisen_065,multiple_choice_ru_de,weisen,hinweisen,B2,2051,Как будет по-немецки: «указывать на»?,hinweisen,hinweisen,hinweisen,einweisen,unterweisen,nachweisen,Sie weist auf den Fehler hin.,She points out the mistake.,Она указывает на ошибку.,,Выберите немецкое слово по русскому переводу.
weisen_066,multiple_choice_synonym,weisen,hinweisen,B2,2051,Выберите немецкий синоним или близкое по смыслу слово для «hinweisen».,aufmerksam machen,aufmerksam machen,identifizieren,belegen,aufmerksam machen,schulen,Sie weist auf den Fehler hin.,She points out the mistake.,Она указывает на ошибку.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_067,sentence_translation_de_en,weisen,hinweisen,B2,2051,Переведите предложение на английский: «Sie weist auf den Fehler hin.»,She points out the mistake.,She points out the mistake.,,,,,Sie weist auf den Fehler hin.,She points out the mistake.,Она указывает на ошибку.,,Открытый перевод предложения.
weisen_068,sentence_translation_de_ru,weisen,hinweisen,B2,2051,Переведите предложение на русский: «Sie weist auf den Fehler hin.»,Она указывает на ошибку.,Она указывает на ошибку.,,,,,Sie weist auf den Fehler hin.,She points out the mistake.,Она указывает на ошибку.,,Открытый перевод предложения.
weisen_069,sentence_order,weisen,hinweisen,B2,2051,Соберите немецкое предложение из слов.,Sie weist auf den Fehler hin.,Sie weist auf den Fehler hin.,,,,,Sie weist auf den Fehler hin.,She points out the mistake.,Она указывает на ошибку.,weist | auf | hin. | Sie | Fehler | den,Поле extra содержит слова в перемешанном порядке.
weisen_070,multiple_choice_sentence_paraphrase,weisen,hinweisen,B2,2051,Выберите перефразированное предложение для: «Sie weist auf den Fehler hin.»,Sie macht auf den Fehler aufmerksam.,Sie macht auf den Fehler aufmerksam.,Die Lehrerin tadelt ihn.,Bitte zeigen Sie Ihren Ausweis.,Sie macht auf den Fehler aufmerksam.,Er kann alles belegen.,Sie weist auf den Fehler hin.,She points out the mistake.,Она указывает на ошибку.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_071,word_family_base,weisen,hinweisen,B2,2051,От какого базового слова образовано «hinweisen»?,weisen,weisen,weisen,unterweisen,hinweisen,ausweisen,Sie weist auf den Fehler hin.,She points out the mistake.,Она указывает на ошибку.,,Упражнение на словообразование.
weisen_072,multiple_choice_de_en,weisen,nachweisen,B2,3139,Как переводится немецкое слово «nachweisen» на английский?,to verify,to verify,to reprimand,to verify,to instruct,"to point, show",Er kann alles nachweisen.,He can verify everything.,Он может всё подтвердить.,,Выберите английский перевод слова.
weisen_073,multiple_choice_ru_de,weisen,nachweisen,B2,3139,Как будет по-немецки: «подтверждать»?,nachweisen,nachweisen,ausweisen,aufweisen,hinweisen,nachweisen,Er kann alles nachweisen.,He can verify everything.,Он может всё подтвердить.,,Выберите немецкое слово по русскому переводу.
weisen_074,multiple_choice_synonym,weisen,nachweisen,B2,3139,Выберите немецкий синоним или близкое по смыслу слово для «nachweisen».,belegen,belegen|beweisen,belegen,tadeln,schulen,transferieren,Er kann alles nachweisen.,He can verify everything.,Он может всё подтвердить.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_075,sentence_translation_de_en,weisen,nachweisen,B2,3139,Переведите предложение на английский: «Er kann alles nachweisen.»,He can verify everything.,He can verify everything.,,,,,Er kann alles nachweisen.,He can verify everything.,Он может всё подтвердить.,,Открытый перевод предложения.
weisen_076,sentence_translation_de_ru,weisen,nachweisen,B2,3139,Переведите предложение на русский: «Er kann alles nachweisen.»,Он может всё подтвердить.,Он может всё подтвердить.,,,,,Er kann alles nachweisen.,He can verify everything.,Он может всё подтвердить.,,Открытый перевод предложения.
weisen_077,sentence_order,weisen,nachweisen,B2,3139,Соберите немецкое предложение из слов.,Er kann alles nachweisen.,Er kann alles nachweisen.,,,,,Er kann alles nachweisen.,He can verify everything.,Он может всё подтвердить.,Er | nachweisen. | alles | kann,Поле extra содержит слова в перемешанном порядке.
weisen_078,multiple_choice_sentence_paraphrase,weisen,nachweisen,B2,3139,Выберите перефразированное предложение для: «Er kann alles nachweisen.»,Er kann alles belegen.,Er kann alles belegen.,Man teilt ihr ein Büro zu.,Die Lehrerin tadelt ihn.,Sie macht auf den Fehler aufmerksam.,Er kann alles belegen.,Er kann alles nachweisen.,He can verify everything.,Он может всё подтвердить.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_079,word_family_base,weisen,nachweisen,B2,3139,От какого базового слова образовано «nachweisen»?,weisen,weisen,Wegweiser,erweisen,weisen,Weisung,Er kann alles nachweisen.,He can verify everything.,Он может всё подтвердить.,,Упражнение на словообразование.
weisen_080,multiple_choice_de_en,weisen,überweisen,B2,5326,Как переводится немецкое слово «überweisen» на английский?,to transfer,to transfer,to prove,to transfer,instruction,to point out,Ich überweise das Geld heute.,I will transfer the money today.,Я переведу деньги сегодня.,,Выберите английский перевод слова.
weisen_081,multiple_choice_ru_de,weisen,überweisen,B2,5326,Как будет по-немецки: «переводить (деньги)»?,überweisen,überweisen,anweisen,ausweisen,aufweisen,überweisen,Ich überweise das Geld heute.,I will transfer the money today.,Я переведу деньги сегодня.,,Выберите немецкое слово по русскому переводу.
weisen_082,multiple_choice_synonym,weisen,überweisen,B2,5326,Выберите немецкий синоним или близкое по смыслу слово для «überweisen».,transferieren,transferieren,zeigen,transferieren,Anordnung,identifizieren,Ich überweise das Geld heute.,I will transfer the money today.,Я переведу деньги сегодня.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_083,sentence_translation_de_en,weisen,überweisen,B2,5326,Переведите предложение на английский: «Ich überweise das Geld heute.»,I will transfer the money today.,I will transfer the money today.,,,,,Ich überweise das Geld heute.,I will transfer the money today.,Я переведу деньги сегодня.,,Открытый перевод предложения.
weisen_084,sentence_translation_de_ru,weisen,überweisen,B2,5326,Переведите предложение на русский: «Ich überweise das Geld heute.»,Я переведу деньги сегодня.,Я переведу деньги сегодня.,,,,,Ich überweise das Geld heute.,I will transfer the money today.,Я переведу деньги сегодня.,,Открытый перевод предложения.
weisen_085,sentence_order,weisen,überweisen,B2,5326,Соберите немецкое предложение из слов.,Ich überweise das Geld heute.,Ich überweise das Geld heute.,,,,,Ich überweise das Geld heute.,I will transfer the money today.,Я переведу деньги сегодня.,Geld | Ich | heute. | überweise | das,Поле extra содержит слова в перемешанном порядке.
weisen_086,multiple_choice_sentence_paraphrase,weisen,überweisen,B2,5326,Выберите перефразированное предложение для: «Ich überweise das Geld heute.»,Ich transferiere das Geld heute.,Ich transferiere das Geld heute.,Das Schild steht am Eingang.,Der Lehrer schickte ihn aus dem Raum.,Ich transferiere das Geld heute.,Das Haus hat Mängel.,Ich überweise das Geld heute.,I will transfer the money today.,Я переведу деньги сегодня.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_087,word_family_base,weisen,überweisen,B2,5326,От какого базового слова образовано «überweisen»?,weisen,weisen,weisen,Wegweiser,vorweisen,ausweisen,Ich überweise das Geld heute.,I will transfer the money today.,Я переведу деньги сегодня.,,Упражнение на словообразование.
weisen_088,multiple_choice_de_en,weisen,unterweisen,C2,45322,Как переводится немецкое слово «unterweisen» на английский?,to instruct,to instruct,to identify; expel,to instruct,to prove; show,signpost,Sie unterweist die neuen Mitarbeiter.,She instructs the new employees.,Она обучает новых сотрудников.,,Выберите английский перевод слова.
weisen_089,multiple_choice_ru_de,weisen,unterweisen,C2,45322,"Как будет по-немецки: «обучать, инструктировать»?",unterweisen,unterweisen,abweisen,zuweisen,unterweisen,vorweisen,Sie unterweist die neuen Mitarbeiter.,She instructs the new employees.,Она обучает новых сотрудников.,,Выберите немецкое слово по русскому переводу.
