word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
hören|Hörensagen|C2|36246|hearsay; rumor|слухи; понаслышке|Gerücht; Hören und Sagen; Mundpropaganda|Ich weiß das nur vom Hörensagen.|I only know that from hearsay.|Я знаю это только по слухам (понаслышке).|Ich weiß das nur aus Gerüchten.|nur vom Hörensagen kennen; auf Hörensagen beruhen; bloßes Hörensagen|'das Hörensagen'. Used almost exclusively in the dative prepositional phrase 'vom Hörensagen' (by hearsay). Refers to unconfirmed gossip or third-party information.
hören|Hörer|B1|7771|listener (audio); receiver (telephone)|слушатель; телефонная трубка|Zuhörer; Telefonhörer|Er nahm den Hörer ab, um zu telefonieren.|He picked up the receiver to make a call.|Он поднял трубку, чтобы позвонить по телефону.|Er nahm den Telefonhörer ab, um zu telefonieren.|den Hörer auflegen; den Hörer abnehmen; liebe Hörer und Hörerinnen (radio greeting)|'der Hörer'. Has two distinct meanings: a person listening to a broadcast (plural: Hörer), or the physical handset of a phone.
hören|Hörfehler|C2|123254|hearing defect; mishearing|дефект слуха; ослышка|Hörschaden; Verhörer|Ein kleiner Hörfehler führte zu diesem Missverständnis.|A small mishearing led to this misunderstanding.|Небольшая ослышка привела к этому недоразумению.|Ein kleiner Verhörer führte zu diesem Missverständnis.|ein angeborener Hörfehler; einen Hörfehler korrigieren; Missverständnis durch Hörfehler|'der Hörfehler'. Can refer physically to an impairment of the ear, or colloquially to the psychological slip of hearing something incorrectly (though 'Verhörer' is more specific for slips of the ear).
hören|Hörfunk|C2|29264|radio (broadcasting)|радиовещание; радио|Radio; Rundfunk|Sie arbeitet als Journalistin beim Hörfunk.|She works as a journalist in radio broadcasting.|Она работает журналистом на радиовещании.|Sie arbeitet als Journalistin beim Radio.|öffentlich-rechtlicher Hörfunk; beim Hörfunk arbeiten; Hörfunk und Fernsehen|'der Hörfunk'. A formal, technical, or official term for 'Radio'. Often used in corporate, legal, or governmental contexts (e.g., contrasting with 'Fernsehen').
hören|Hörgerät|C1|20650|hearing aid|слуховой аппарат|Hörhilfe; Hörapparat|Meine Oma braucht jetzt ein Hörgerät.|My grandma needs a hearing aid now.|Моей бабушке теперь нужен слуховой аппарат.|Meine Oma braucht jetzt eine Hörhilfe.|ein Hörgerät tragen; das Hörgerät einschalten; modernes Hörgerät|'das Hörgerät'. The standard and most common everyday word for a modern hearing aid device.
hören|Hörhilfe|C2|74972|hearing aid; hearing assistance device|слуховой аппарат; вспомогательное слуховое устройство|Hörgerät; Hörapparat|Die Krankenkasse bezahlt die neue Hörhilfe.|The health insurance pays for the new hearing aid.|Больничная касса оплачивает слуховой аппарат.|Die Krankenkasse bezahlt das neue Hörgerät.|eine elektronische Hörhilfe; Hörhilfe für Senioren; Kosten für die Hörhilfe|'die Hörhilfe'. Can act as a synonym for 'Hörgerät', but structurally can encompass any supplementary sound amplifier or auditory helper.
hören|Hörmuschel|C2|91281|earpiece (of a telephone receiver)|слуховая раковина (телефона); телефонный наушник|Empfängerteil; Ohrhörer|Er presste die Hörmuschel fest an sein Ohr.|He pressed the earpiece tightly to his ear.|Он плотно прижал телефонную трубку к уху.|Er presste das Empfängerteil fest an sein Ohr.|die Hörmuschel ans Ohr halten; Ton aus der Hörmuschel; defekte Hörmuschel|'die Hörmuschel'. Refers to the physical part of a telephone handset or smartphone where the speaker is located, placed directly against the ear.
hören|Hörnerv|C2|99248|auditory nerve|слуховой нерв|Gehörnerv; Nervus vestibulocochlearis|Eine Schädigung des Hörnervs kann zu Taubheit führen.|Damage to the auditory nerve can lead to deafness.|Повреждение слухового нерва может привести к глухоте.|Eine Schädigung des Gehörnervs kann zu Taubheit führen.|den Hörnerv schädigen; Reizung des Hörnervs; Hörnerv-Entzündung|'der Hörnerv'. An anatomical, medical term. Used in clinical context rather than casual conversation.
hören|Hörorgan|C2|120340|organ of hearing; auditory organ|орган слуха|Gehörorgan; Ohr|Das Ohr ist das wichtigste Hörorgan des Menschen.|The ear is the most important organ of hearing in humans.|Ухо — важнейший орган слуха человека.|Das Ohr ist das wichtigste Gehörorgan des Menschen.|menschliches Hörorgan; empfindliches Hörorgan; Schutz der Hörorgane|'das Hörorgan'. A formal, biological term. Mostly used in medical, educational, or zoological discussions.
hören|Hörrohr|C2|110205|ear trumpet (historical hearing aid)|слуховой рожок|Hörschlauch; Schallrohr|Früher benutzte man ein Hörrohr als Hörhilfe.|In the past, people used an ear trumpet as a hearing aid.|Раньше в качестве слухового аппарата использовали слуховой рожок.|Früher benutzte man ein einfaches Schallrohr als Hörhilfe.|ein historisches Hörrohr; durch ein Hörrohr lauschen|'das Hörrohr'. A historical, non-electronic device. It appears in literary or historical contexts, as well as museum descriptions.
hören|Hörsaal|C1|11279|lecture hall; auditorium|лекционный зал; аудитория|Auditorium; Vorlesungssaal|Der Hörsaal war bis auf den letzten Platz besetzt.|The lecture hall was filled to the last seat.|Лекционный зал был заполнен до последнего места.|Das Auditorium war bis auf den letzten Platz besetzt.|im Hörsaal sitzen; ein großer Hörsaal; den Hörsaal betreten; Hörsaal-Vorlesung|'der Hörsaal'. Used specifically in tertiary education institutions (universities) where academic lectures ('Vorlesungen') take place.
hören|Hörspiel|C1|10695|radio play; audio drama|радиоспектакль; аудиоспектакль|Radio-Drama; akustisches Spiel|Kinder hören abends gerne ein Hörspiel zum Einschlafen.|Children like to listen to a radio play to fall asleep in the evening.|Дети любят слушать радиоспектакли перед сном.|Kinder hören abends gerne ein Radio-Drama zum Einschlafen.|ein spannendes Hörspiel; Hörspiel für Kinder; Hörspiel aufnehmen; Hörspiel-CD|'das Hörspiel'. Highly culturally relevant in German-speaking countries, representing a broad industry of spoken-word entertainment for both children and adults.
hören|Hörstück|C2|81628|audio piece; acoustic art piece|аудиопроизведение; радиопьеса|Feature; Audiostück; Hörspielarbeit|Das experimentelle Hörstück wurde im Radio gesendet.|The experimental audio piece was broadcast on the radio.|Экспериментальное аудиопроизведение транслировалось по радио.|Das experimentelle Audiostück wurde im Radio gesendet.|ein künstlerisches Hörstück; kurzes Hörstück; Hörstücke produzieren|'das Hörstück'. Close to 'Hörspiel' but often designates more experimental, shorter, non-narrative, or artistic audio collages/documentaries.
hören|Hörsturz|C2|52646|sudden hearing loss|внезапная потеря слуха|plötzlicher Hörverlust; Ohrinfarkt|Stress kann einen plötzlichen Hörsturz verursachen.|Stress can cause a sudden hearing loss.|Стресс может вызвать внезапную потерю слуха.|Stress kann einen plötzlichen Hörverlust verursachen.|einen Hörsturz erleiden; Hörsturz durch Stress; akuter Hörsturz|'der Hörsturz'. A specific medical condition of sudden deafness/hearing reduction, very commonly discussed in Germany in relation to occupational stress.
hören|Hörtest|C1|50953|hearing test|проверка слуха; тест слуха|Audiometrie; Gehörprüfung|Beim HNO-Arzt müssen wir einen Hörtest machen.|We have to do a hearing test at the ENT doctor.|У лор-врача нам нужно сделать тест слуха.|Beim HNO-Arzt müssen wir eine Gehörprüfung machen.|einen Hörtest durchführen; regelmäßiger Hörtest; Hörtest beim Arzt|'der Hörtest'. Practical clinical term. An 'HNO-Arzt' is a Hals-Nasen-Ohren-Arzt (Ear, Nose, and Throat specialist).
hören|Hörweite|C2|74076|earshot; hearing distance|пределы слышимости|Hörabstand; Rufweite|Bitte bleib in Hörweite, falls ich dich rufen muss.|Please stay within earshot in case I need to call you.|Пожалуйста, оставайся в пределах слышимости на случай, если мне понадобится позвать тебя.|Bitte bleib in Rufweite, falls ich dich rufen muss.|in Hörweite sein; außer Hörweite geraten; in Hörweite bleiben|'die Hörweite'. Almost exclusively used in fixed directional or situational phrases like 'in Hörweite' or 'außer Hörweite'.
hören|Verhör|C1|16614|interrogation; questioning|допрос|Befragung; Einvernahme; Befragung durch die Polizei|Das Verhör des Verdächtigen dauerte mehrere Stunden.|The interrogation of the suspect lasted several hours.|Допрос подозреваемого длился несколько часов.|Die Einvernahme des Verdächtigen dauerte mehrere Stunden.|ein polizeiliches Verhör; zum Verhör vorladen; das Verhör protokollieren|'das Verhör'. Specifically associated with authorities, police, military, or the court. It is much more formal, official, and intense than a simple 'Befragung' (questioning).
